Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-5,6.7,6.6,30238,132,310,9,2.9,0.95,972|2624|3059|3635|6886|7099|10859|51176|133522,CD74|GATA2|HCLS1|INPP5D|TAL1|TLR4|LILRB1|LEF1|PPARGC1B,-2.9,GenesID
GO Biological Processes,19,GO:0001910,regulation of leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-5,7.7,6.9,30238,101,310,8,2.6,0.9,3071|3105|3122|3133|3635|3822|3965|10859,NCKAP1L|HLA-A|HLA-DRA|HLA-E|INPP5D|KLRC2|LGALS9|LILRB1,-2.9,GenesID
GO Biological Processes,19,GO:0061045,negative regulation of wound healing,19_GO:0048519 negative regulation of biological process,-5,9.4,7.3,30238,73,310,7,2.3,0.84,285|1906|4088|5156|5327|5627|135228,ANGPT2|EDN1|SMAD3|PDGFRA|PLAT|PROS1|CD109,-2.9,GenesID
GO Molecular Functions,21,GO:0038132,neuregulin binding,,-5,59,13,30238,5,310,3,0.97,0.56,2065|3655|3685,ERBB3|ITGA6|ITGAV,-2.9,GenesID
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-5,6.6,6.6,30238,134,310,9,2.9,0.95,678|972|3071|3635|5074|7037|7099|54440|64092,ZFP36L2|CD74|NCKAP1L|INPP5D|PAWR|TFRC|TLR4|SASH3|SAMSN1,-2.9,GenesID
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-4.9,4.3,5.8,30238,293,310,13,4.2,1.1,678|972|1380|3688|3953|8809|9452|10461|23308|51176|54440|57580|441478,ZFP36L2|CD74|CR2|ITGB1|LEPR|IL18R1|ITM2A|MERTK|ICOSLG|LEF1|SASH3|PREX1|NRARP,-2.8,GenesID
GO Biological Processes,19,GO:0019884,antigen processing and presentation of exogenous antigen,19_GO:0002376 immune system process,-4.9,12,7.7,30238,50,310,6,1.9,0.78,972|3105|3117|3122|3127|3133,CD74|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E,-2.8,GenesID
GO Biological Processes,19,GO:1902893,regulation of miRNA transcription,19_GO:0050789 regulation of biological process,-4.9,9.1,7.2,30238,75,310,7,2.3,0.84,183|2113|2624|2908|4088|5978|6662,AGT|ETS1|GATA2|NR3C1|SMAD3|REST|SOX9,-2.8,GenesID
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-4.9,5.7,6.3,30238,172,310,10,3.2,1,678|1003|1906|2908|3397|3987|4088|6662|25805|25878,ZFP36L2|CDH5|EDN1|NR3C1|ID1|LIMS1|SMAD3|SOX9|BAMBI|MXRA5,-2.8,GenesID
GO Biological Processes,19,GO:0050818,regulation of coagulation,19_GO:0032501 multicellular organismal process,-4.9,9,7.1,30238,76,310,7,2.3,0.84,285|1906|2152|5156|5327|5627|196527,ANGPT2|EDN1|F3|PDGFRA|PLAT|PROS1|ANO6,-2.8,GenesID
GO Biological Processes,19,GO:0060099,"regulation of phagocytosis, engulfment",19_GO:0051179 localization,-4.9,26,9.9,30238,15,310,4,1.3,0.64,718|2624|3071|196527,C3|GATA2|NCKAP1L|ANO6,-2.8,GenesID
GO Biological Processes,19,GO:1905153,regulation of membrane invagination,19_GO:0050789 regulation of biological process,-4.9,26,9.9,30238,15,310,4,1.3,0.64,718|2624|3071|196527,C3|GATA2|NCKAP1L|ANO6,-2.8,GenesID
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-4.9,3.4,5.4,30238,488,310,17,5.5,1.3,760|1436|1906|2908|3685|3688|3791|4088|5420|6662|6663|6926|8323|9368|30812|51176|441478,CA2|CSF1R|EDN1|NR3C1|ITGAV|ITGB1|KDR|SMAD3|PODXL|SOX9|SOX10|TBX3|FZD6|NHERF1|SOX8|LEF1|NRARP,-2.8,GenesID
GO Biological Processes,19,GO:0032729,positive regulation of type II interferon production,19_GO:0048518 positive regulation of biological process,-4.8,8.9,7,30238,77,310,7,2.3,0.84,3105|3965|7099|8809|10859|51284|54440,HLA-A|LGALS9|TLR4|IL18R1|LILRB1|TLR7|SASH3,-2.8,GenesID
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-4.8,3.4,5.4,30238,490,310,17,5.5,1.3,718|972|1380|3105|3133|3560|3635|3822|4064|6338|7099|8809|9452|10859|23308|51176|54518,C3|CD74|CR2|HLA-A|HLA-E|IL2RB|INPP5D|KLRC2|CD180|SCNN1B|TLR4|IL18R1|ITM2A|LILRB1|ICOSLG|LEF1|APBB1IP,-2.8,GenesID
GO Biological Processes,19,GO:0019883,antigen processing and presentation of endogenous antigen,19_GO:0002376 immune system process,-4.8,16,8.4,30238,31,310,5,1.6,0.72,972|3105|3122|3133|3416,CD74|HLA-A|HLA-DRA|HLA-E|IDE,-2.8,GenesID
GO Biological Processes,19,GO:0071496,cellular response to external stimulus,19_GO:0050896 response to stimulus,-4.8,8.8,7,30238,78,310,7,2.3,0.84,1647|5243|6513|6662|7099|9531|51284,GADD45A|ABCB1|SLC2A1|SOX9|TLR4|BAG3|TLR7,-2.7,GenesID
GO Biological Processes,19,GO:0002709,regulation of T cell mediated immunity,19_GO:0002376 immune system process,-4.8,7.2,6.6,30238,108,310,8,2.6,0.9,3071|3105|3122|3133|7133|8809|10859|54440,NCKAP1L|HLA-A|HLA-DRA|HLA-E|TNFRSF1B|IL18R1|LILRB1|SASH3,-2.7,GenesID
GO Biological Processes,19,GO:0042102,positive regulation of T cell proliferation,19_GO:0002376 immune system process,-4.8,7.2,6.6,30238,108,310,8,2.6,0.9,3071|3105|3133|3965|6541|7037|23308|54440,NCKAP1L|HLA-A|HLA-E|LGALS9|SLC7A1|TFRC|ICOSLG|SASH3,-2.7,GenesID
GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-4.8,3.5,5.4,30238,446,310,16,5.2,1.3,482|1003|1317|1906|1910|2034|2235|3791|6005|6338|6916|7037|9368|30061|59341|80024,ATP1B2|CDH5|SLC31A1|EDN1|EDNRB|EPAS1|FECH|KDR|RHAG|SCNN1B|TBXAS1|TFRC|NHERF1|SLC40A1|TRPV4|SLC8B1,-2.7,GenesID
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,19_GO:0048518 positive regulation of biological process,-4.8,5.4,6.1,30238,179,310,10,3.2,1,183|718|837|2113|3133|7099|9630|51284|59341|140609,AGT|C3|CASP4|ETS1|HLA-E|TLR4|GNA14|TLR7|TRPV4|NEK7,-2.7,GenesID
GO Molecular Functions,21,GO:0061809,"NAD+ nucleosidase activity, cyclic ADP-ribose generating",,-4.7,24,9.5,30238,16,310,4,1.3,0.64,7096|7099|8809|81793,TLR1|TLR4|IL18R1|TLR10,-2.7,GenesID
GO Molecular Functions,21,GO:0140328,floppase activity,,-4.7,24,9.5,30238,16,310,4,1.3,0.64,5243|5244|9619|57194,ABCB1|ABCB4|ABCG1|ATP10A,-2.7,GenesID
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-4.7,3.2,5.3,30238,551,310,18,5.8,1.3,482|945|953|1003|3655|3685|3688|3987|5156|6662|8404|28316|51176|53834|64084|64761|64805|253559,ATP1B2|CD33|ENTPD1|CDH5|ITGA6|ITGAV|ITGB1|LIMS1|PDGFRA|SOX9|SPARCL1|CDH20|LEF1|FGFRL1|CLSTN2|PARP12|P2RY12|CADM2,-2.7,GenesID
GO Cellular Components,20,GO:0005769,early endosome,,-4.7,3.5,5.4,30238,448,310,16,5.2,1.3,1317|3105|3122|3133|3791|7037|7099|30844|30845|54918|55300|56937|92241|122618|151636|219285,SLC31A1|HLA-A|HLA-DRA|HLA-E|KDR|TFRC|TLR4|EHD4|EHD3|CMTM6|PI4K2B|PMEPA1|RCSD1|PLD4|DTX3L|SAMD9L,-2.7,GenesID
GO Biological Processes,19,GO:0002704,negative regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-4.7,8.5,6.9,30238,80,310,7,2.3,0.84,1380|3071|3105|3133|3635|3965|10859,CR2|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|LILRB1,-2.7,GenesID
GO Biological Processes,19,GO:0043269,regulation of monoatomic ion transport,19_GO:0051179 localization,-4.7,3.5,5.4,30238,449,310,16,5.2,1.3,183|482|760|1906|3773|4734|5243|6640|9368|10859|29763|64805|80024|144453|150094|196527,AGT|ATP1B2|CA2|EDN1|KCNJ16|NEDD4|ABCB1|SNTA1|NHERF1|LILRB1|PACSIN3|P2RY12|SLC8B1|BEST3|SIK1|ANO6,-2.7,GenesID
GO Biological Processes,19,GO:0070371,ERK1 and ERK2 cascade,19_GO:0050896 response to stimulus,-4.7,11,7.4,30238,54,310,6,1.9,0.78,678|1906|3685|3965|6662|7099,ZFP36L2|EDN1|ITGAV|LGALS9|SOX9|TLR4,-2.7,GenesID
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-4.7,3,5.2,30238,608,310,19,6.1,1.4,760|1436|1906|2908|3685|3688|3791|4088|5420|6662|6663|6886|6926|8323|9368|30812|51176|57045|441478,CA2|CSF1R|EDN1|NR3C1|ITGAV|ITGB1|KDR|SMAD3|PODXL|SOX9|SOX10|TAL1|TBX3|FZD6|NHERF1|SOX8|LEF1|TWSG1|NRARP,-2.7,GenesID
GO Biological Processes,19,GO:0006869,lipid transport,19_GO:0051179 localization,-4.7,3.9,5.5,30238,354,310,14,4.5,1.2,1376|4864|5243|5244|6513|9429|9619|11309|26031|51228|57194|57488|81575|196527,CPT2|NPC1|ABCB1|ABCB4|SLC2A1|ABCG2|ABCG1|SLCO2B1|OSBPL3|GLTP|ATP10A|ESYT2|APOLD1|ANO6,-2.7,GenesID
GO Biological Processes,19,GO:0010876,lipid localization,19_GO:0051179 localization,-4.7,3.8,5.5,30238,355,310,14,4.5,1.2,1376|4864|5243|5244|6513|9429|9619|11309|26031|51228|57194|57488|81575|196527,CPT2|NPC1|ABCB1|ABCB4|SLC2A1|ABCG2|ABCG1|SLCO2B1|OSBPL3|GLTP|ATP10A|ESYT2|APOLD1|ANO6,-2.6,GenesID
GO Biological Processes,19,GO:0036324,vascular endothelial growth factor receptor-2 signaling pathway,19_GO:0050896 response to stimulus,-4.7,49,12,30238,6,310,3,0.97,0.56,1317|3791|161198,SLC31A1|KDR|CLEC14A,-2.6,GenesID
GO Biological Processes,19,GO:0042269,regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.7,11,7.3,30238,55,310,6,1.9,0.78,3105|3133|3635|3822|3965|10859,HLA-A|HLA-E|INPP5D|KLRC2|LGALS9|LILRB1,-2.6,GenesID
GO Biological Processes,19,GO:0031341,regulation of cell killing,19_GO:0050789 regulation of biological process,-4.7,7,6.4,30238,112,310,8,2.6,0.9,3071|3105|3122|3133|3635|3822|3965|10859,NCKAP1L|HLA-A|HLA-DRA|HLA-E|INPP5D|KLRC2|LGALS9|LILRB1,-2.6,GenesID
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-4.7,3,5.2,30238,613,310,19,6.1,1.4,1906|2114|2321|2624|3685|3688|4088|4154|5156|5978|6662|6886|6926|8323|9368|30812|51176|57045|121227,EDN1|ETS2|FLT1|GATA2|ITGAV|ITGB1|SMAD3|MBNL1|PDGFRA|REST|SOX9|TAL1|TBX3|FZD6|NHERF1|SOX8|LEF1|TWSG1|LRIG3,-2.6,GenesID
GO Biological Processes,19,GO:0010001,glial cell differentiation,19_GO:0032502 developmental process,-4.7,4.8,5.8,30238,224,310,11,3.5,1.1,2065|2840|2908|6662|6663|6886|7099|9283|30812|51176|79628,ERBB3|GPR17|NR3C1|SOX9|SOX10|TAL1|TLR4|GPR37L1|SOX8|LEF1|SH3TC2,-2.6,GenesID
GO Cellular Components,20,GO:0042613,MHC class II protein complex,,-4.6,23,9.2,30238,17,310,4,1.3,0.64,972|3117|3122|3127,CD74|HLA-DQA1|HLA-DRA|HLA-DRB5,-2.6,GenesID
GO Biological Processes,19,GO:0071385,cellular response to glucocorticoid stimulus,19_GO:0050896 response to stimulus,-4.6,10,7.2,30238,56,310,6,1.9,0.78,678|1906|2235|2908|5243|5978,ZFP36L2|EDN1|FECH|NR3C1|ABCB1|REST,-2.6,GenesID
GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-4.6,3,5.1,30238,616,310,19,6.1,1.4,2|837|3105|3133|3635|3822|3965|4064|7096|7099|9261|10859|25939|51284|57169|81793|83666|140609|151636,A2M|CASP4|HLA-A|HLA-E|INPP5D|KLRC2|LGALS9|CD180|TLR1|TLR4|MAPKAPK2|LILRB1|SAMHD1|TLR7|ZNFX1|TLR10|PARP9|NEK7|DTX3L,-2.6,GenesID
GO Biological Processes,19,GO:0050777,negative regulation of immune response,19_GO:0002376 immune system process,-4.6,4.7,5.8,30238,226,310,11,3.5,1.1,2|1380|2840|3071|3105|3133|3635|3965|10859|25939|64092,A2M|CR2|GPR17|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|LILRB1|SAMHD1|SAMSN1,-2.6,GenesID
GO Cellular Components,20,GO:0031253,cell projection membrane,,-4.6,3.8,5.4,30238,361,310,14,4.5,1.2,482|3685|3688|5243|5420|6506|9283|9368|9429|30845|57608|59341|64805|81704,ATP1B2|ITGAV|ITGB1|ABCB1|PODXL|SLC1A2|GPR37L1|NHERF1|ABCG2|EHD3|JCAD|TRPV4|P2RY12|DOCK8,-2.6,GenesID
GO Biological Processes,19,GO:0062012,regulation of small molecule metabolic process,19_GO:0050789 regulation of biological process,-4.6,3.8,5.4,30238,361,310,14,4.5,1.2,183|972|1906|2908|3486|3953|5166|5255|5978|6662|9619|115330|150094|648791,AGT|CD74|EDN1|NR3C1|IGFBP3|LEPR|PDK4|PHKA1|REST|SOX9|ABCG1|GPR146|SIK1|PPP1R3G,-2.6,GenesID
GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-4.6,4.7,5.7,30238,227,310,11,3.5,1.1,972|2113|2624|3059|3071|3635|6886|7099|10859|51176|133522,CD74|ETS1|GATA2|HCLS1|NCKAP1L|INPP5D|TAL1|TLR4|LILRB1|LEF1|PPARGC1B,-2.6,GenesID
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.6,4.7,5.7,30238,227,310,11,3.5,1.1,639|678|972|3071|3122|3635|3965|51176|54440|64115|441478,PRDM1|ZFP36L2|CD74|NCKAP1L|HLA-DRA|INPP5D|LGALS9|LEF1|SASH3|VSIR|NRARP,-2.6,GenesID
GO Biological Processes,19,GO:0042593,glucose homeostasis,19_GO:0042592 homeostatic process,-4.6,4.7,5.7,30238,228,310,11,3.5,1.1,3953|4088|5166|6566|25825|59341|79602|80024|81628|221395|648791,LEPR|SMAD3|PDK4|SLC16A1|BACE2|TRPV4|ADIPOR2|SLC8B1|TSC22D4|ADGRF5|PPP1R3G,-2.6,GenesID
GO Biological Processes,19,GO:0033500,carbohydrate homeostasis,19_GO:0042592 homeostatic process,-4.6,4.7,5.7,30238,229,310,11,3.5,1.1,3953|4088|5166|6566|25825|59341|79602|80024|81628|221395|648791,LEPR|SMAD3|PDK4|SLC16A1|BACE2|TRPV4|ADIPOR2|SLC8B1|TSC22D4|ADGRF5|PPP1R3G,-2.6,GenesID
GO Biological Processes,19,GO:0048010,vascular endothelial growth factor receptor signaling pathway,19_GO:0050896 response to stimulus,-4.6,14,7.8,30238,35,310,5,1.6,0.72,1317|2321|3791|9261|161198,SLC31A1|FLT1|KDR|MAPKAPK2|CLEC14A,-2.6,GenesID
GO Biological Processes,19,GO:0061081,positive regulation of myeloid leukocyte cytokine production involved in immune response,19_GO:0002376 immune system process,-4.6,14,7.8,30238,35,310,5,1.6,0.72,972|7099|9261|10859|51284,CD74|TLR4|MAPKAPK2|LILRB1|TLR7,-2.6,GenesID
GO Biological Processes,19,GO:0002687,positive regulation of leukocyte migration,19_GO:0040011 locomotion,-4.5,5.8,6,30238,152,310,9,2.9,0.95,972|1436|1906|3071|3965|59341|64805|81704|196527,CD74|CSF1R|EDN1|NCKAP1L|LGALS9|TRPV4|P2RY12|DOCK8|ANO6,-2.5,GenesID
GO Cellular Components,20,GO:0045178,basal part of cell,,-4.5,4,5.4,30238,319,310,13,4.2,1.1,1317|1906|2065|3416|3773|3953|6513|6541|6566|7037|11309|30061|57477,SLC31A1|EDN1|ERBB3|IDE|KCNJ16|LEPR|SLC2A1|SLC7A1|SLC16A1|TFRC|SLCO2B1|SLC40A1|SHROOM4,-2.5,GenesID
GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.5,3.2,5.1,30238,519,310,17,5.5,1.3,2|837|3105|3133|3635|3822|3965|7096|7099|9261|10859|25939|51284|57169|81793|83666|140609,A2M|CASP4|HLA-A|HLA-E|INPP5D|KLRC2|LGALS9|TLR1|TLR4|MAPKAPK2|LILRB1|SAMHD1|TLR7|ZNFX1|TLR10|PARP9|NEK7,-2.5,GenesID
GO Biological Processes,19,GO:0045766,positive regulation of angiogenesis,19_GO:0032502 developmental process,-4.5,5.1,5.8,30238,191,310,10,3.2,1,285|718|1003|2113|2152|2321|2624|3688|3791|57608,ANGPT2|C3|CDH5|ETS1|F3|FLT1|GATA2|ITGB1|KDR|JCAD,-2.5,GenesID
GO Biological Processes,19,GO:0007423,sensory organ development,19_GO:0032502 developmental process,-4.5,3,5,30238,628,310,19,6.1,1.4,639|1906|2321|2624|3791|4088|4124|5156|5978|6662|6926|8323|9261|9368|10461|30812|51176|57045|121227,PRDM1|EDN1|FLT1|GATA2|KDR|SMAD3|MAN2A1|PDGFRA|REST|SOX9|TBX3|FZD6|MAPKAPK2|NHERF1|MERTK|SOX8|LEF1|TWSG1|LRIG3,-2.5,GenesID
GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-4.5,14,7.7,30238,36,310,5,1.6,0.72,2113|2624|3071|3635|6886,ETS1|GATA2|NCKAP1L|INPP5D|TAL1,-2.5,GenesID
GO Biological Processes,19,GO:0043534,blood vessel endothelial cell migration,19_GO:0009987 cellular process,-4.5,14,7.7,30238,36,310,5,1.6,0.72,1003|3397|3688|30844|161198,CDH5|ID1|ITGB1|EHD4|CLEC14A,-2.5,GenesID
GO Biological Processes,19,GO:0031960,response to corticosteroid,19_GO:0050896 response to stimulus,-4.5,5.7,6,30238,154,310,9,2.9,0.95,15|590|678|1906|2235|2908|5243|5978|6338,AANAT|BCHE|ZFP36L2|EDN1|FECH|NR3C1|ABCB1|REST|SCNN1B,-2.5,GenesID
GO Biological Processes,19,GO:0002285,lymphocyte activation involved in immune response,19_GO:0002376 immune system process,-4.5,5.7,6,30238,154,310,9,2.9,0.95,972|4064|7099|8809|9452|10859|23308|51176|54518,CD74|CD180|TLR4|IL18R1|ITM2A|LILRB1|ICOSLG|LEF1|APBB1IP,-2.5,GenesID
GO Biological Processes,19,GO:0009617,response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.5,2.8,4.9,30238,744,310,21,6.8,1.4,718|837|1734|1906|1910|3105|3133|3965|4064|4939|5243|5724|6338|7096|7099|7133|9261|10859|57169|81793|115361,C3|CASP4|DIO2|EDN1|EDNRB|HLA-A|HLA-E|LGALS9|CD180|OAS2|ABCB1|PTAFR|SCNN1B|TLR1|TLR4|TNFRSF1B|MAPKAPK2|LILRB1|ZNFX1|TLR10|GBP4,-2.5,GenesID
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-4.5,2.8,5,30238,688,310,20,6.5,1.4,183|972|1436|1647|1906|2065|2122|2321|3397|3486|3791|3965|4616|5156|7099|9283|9368|57608|59341|768211,AGT|CD74|CSF1R|GADD45A|EDN1|ERBB3|MECOM|FLT1|ID1|IGFBP3|KDR|LGALS9|GADD45B|PDGFRA|TLR4|GPR37L1|NHERF1|JCAD|TRPV4|RELL1,-2.5,GenesID
GO Biological Processes,19,GO:0002764,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-4.5,3.3,5.2,30238,471,310,16,5.2,1.3,718|837|945|1380|3071|3105|3635|3822|7096|7099|9261|10859|23308|51284|81793|140609,C3|CASP4|CD33|CR2|NCKAP1L|HLA-A|INPP5D|KLRC2|TLR1|TLR4|MAPKAPK2|LILRB1|ICOSLG|TLR7|TLR10|NEK7,-2.5,GenesID
GO Biological Processes,19,GO:0044409,symbiont entry into host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.5,6.5,6.1,30238,120,310,8,2.6,0.9,1380|2993|3416|3685|3688|4864|6541|7037,CR2|GYPA|IDE|ITGAV|ITGB1|NPC1|SLC7A1|TFRC,-2.5,GenesID
GO Biological Processes,19,GO:0046718,symbiont entry into host cell,19_GO:0016032 viral process,-4.5,6.5,6.1,30238,120,310,8,2.6,0.9,1380|2993|3416|3685|3688|4864|6541|7037,CR2|GYPA|IDE|ITGAV|ITGB1|NPC1|SLC7A1|TFRC,-2.5,GenesID
GO Biological Processes,19,GO:0050801,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-4.4,3.2,5.1,30238,526,310,17,5.5,1.3,482|760|1003|1317|1906|1910|2034|2235|3791|5166|6005|6338|6916|7037|30061|59341|80024,ATP1B2|CA2|CDH5|SLC31A1|EDN1|EDNRB|EPAS1|FECH|KDR|PDK4|RHAG|SCNN1B|TBXAS1|TFRC|SLC40A1|TRPV4|SLC8B1,-2.5,GenesID
GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,19_GO:0048518 positive regulation of biological process,-4.4,3.3,5.1,30238,474,310,16,5.2,1.3,972|1436|1647|1906|2065|2321|3486|3791|3965|4616|5156|7099|9283|57608|59341|768211,CD74|CSF1R|GADD45A|EDN1|ERBB3|FLT1|IGFBP3|KDR|LGALS9|GADD45B|PDGFRA|TLR4|GPR37L1|JCAD|TRPV4|RELL1,-2.5,GenesID
GO Molecular Functions,21,GO:0001875,lipopolysaccharide immune receptor activity,,-4.4,42,11,30238,7,310,3,0.97,0.56,4064|5724|7099,CD180|PTAFR|TLR4,-2.5,GenesID
GO Molecular Functions,21,GO:0005021,vascular endothelial growth factor receptor activity,,-4.4,42,11,30238,7,310,3,0.97,0.56,2321|3791|5156,FLT1|KDR|PDGFRA,-2.5,GenesID
GO Biological Processes,19,GO:1904018,positive regulation of vasculature development,19_GO:0032502 developmental process,-4.4,5,5.7,30238,195,310,10,3.2,1,285|718|1003|2113|2152|2321|2624|3688|3791|57608,ANGPT2|C3|CDH5|ETS1|F3|FLT1|GATA2|ITGB1|KDR|JCAD,-2.5,GenesID
GO Molecular Functions,21,GO:0008525,phosphatidylcholine transporter activity,,-4.4,21,8.7,30238,19,310,4,1.3,0.64,5243|5244|9619|57194,ABCB1|ABCB4|ABCG1|ATP10A,-2.5,GenesID
GO Biological Processes,19,GO:0032680,regulation of tumor necrosis factor production,19_GO:0032501 multicellular organismal process,-4.4,5,5.7,30238,196,310,10,3.2,1,945|3133|3965|4939|7096|7099|9261|10859|54440|64115,CD33|HLA-E|LGALS9|OAS2|TLR1|TLR4|MAPKAPK2|LILRB1|SASH3|VSIR,-2.5,GenesID
GO Biological Processes,19,GO:0032835,glomerulus development,19_GO:0032502 developmental process,-4.4,9.6,6.8,30238,61,310,6,1.9,0.78,285|1906|1910|5156|5420|25937,ANGPT2|EDN1|EDNRB|PDGFRA|PODXL|WWTR1,-2.5,GenesID
GO Molecular Functions,21,GO:0004714,transmembrane receptor protein tyrosine kinase activity,,-4.4,9.6,6.8,30238,61,310,6,1.9,0.78,1436|2321|3791|5156|10461|53834,CSF1R|FLT1|KDR|PDGFRA|MERTK|FGFRL1,-2.5,GenesID
GO Biological Processes,19,GO:0002715,regulation of natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.4,9.6,6.8,30238,61,310,6,1.9,0.78,3105|3133|3635|3822|3965|10859,HLA-A|HLA-E|INPP5D|KLRC2|LGALS9|LILRB1,-2.5,GenesID
GO Biological Processes,19,GO:0032649,regulation of type II interferon production,19_GO:0032501 multicellular organismal process,-4.4,6.4,6.1,30238,122,310,8,2.6,0.9,3105|3965|7099|8809|10859|51284|54440|64115,HLA-A|LGALS9|TLR4|IL18R1|LILRB1|TLR7|SASH3|VSIR,-2.5,GenesID
GO Biological Processes,19,GO:1900180,regulation of protein localization to nucleus,19_GO:0051179 localization,-4.4,5.6,5.8,30238,158,310,9,2.9,0.95,1906|3059|3455|4088|7037|9531|25937|83666|151636,EDN1|HCLS1|IFNAR2|SMAD3|TFRC|BAG3|WWTR1|PARP9|DTX3L,-2.4,GenesID
GO Cellular Components,20,GO:0005911,cell-cell junction,,-4.4,3.1,5,30238,531,310,17,5.5,1.3,1003|1317|3688|3987|5244|5420|5583|6513|25937|28316|30844|53834|57477|57481|57608|59341|81575,CDH5|SLC31A1|ITGB1|LIMS1|ABCB4|PODXL|PRKCH|SLC2A1|WWTR1|CDH20|EHD4|FGFRL1|SHROOM4|KIAA1210|JCAD|TRPV4|APOLD1,-2.4,GenesID
GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-4.4,5.5,5.8,30238,159,310,9,2.9,0.95,2034|2235|3059|3071|6005|6338|6886|10461|221395,EPAS1|FECH|HCLS1|NCKAP1L|RHAG|SCNN1B|TAL1|MERTK|ADGRF5,-2.4,GenesID
GO Biological Processes,19,GO:0010935,regulation of macrophage cytokine production,19_GO:0002376 immune system process,-4.4,13,7.4,30238,38,310,5,1.6,0.72,972|7099|9261|10859|51284,CD74|TLR4|MAPKAPK2|LILRB1|TLR7,-2.4,GenesID
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-4.4,4.9,5.6,30238,199,310,10,3.2,1,972|3059|3071|3122|3635|3965|51176|54440|64115|133522,CD74|HCLS1|NCKAP1L|HLA-DRA|INPP5D|LGALS9|LEF1|SASH3|VSIR|PPARGC1B,-2.4,GenesID
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.4,4.9,5.6,30238,199,310,10,3.2,1,972|3059|3071|3122|3635|3965|51176|54440|64115|133522,CD74|HCLS1|NCKAP1L|HLA-DRA|INPP5D|LGALS9|LEF1|SASH3|VSIR|PPARGC1B,-2.4,GenesID
GO Cellular Components,20,GO:0010008,endosome membrane,,-4.3,3,4.9,30238,591,310,18,5.8,1.3,1317|3105|3117|3122|3127|3133|3688|4864|7037|7099|30844|30845|51284|54918|55300|56937|120224|151636,SLC31A1|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|ITGB1|NPC1|TFRC|TLR4|EHD4|EHD3|TLR7|CMTM6|PI4K2B|PMEPA1|TMEM45B|DTX3L,-2.4,GenesID
GO Biological Processes,19,GO:0045667,regulation of osteoblast differentiation,19_GO:0032502 developmental process,-4.3,5.5,5.8,30238,161,310,9,2.9,0.95,3397|4088|5787|5978|6662|25805|25937|55363|57045,ID1|SMAD3|PTPRB|REST|SOX9|BAMBI|WWTR1|HEMGN|TWSG1,-2.4,GenesID
